ID号,用户标识,月,姓名,年龄,职业,年收入,月基本工资,银行账户数,信用卡数,信用卡利率,获得的贷款数量,贷款类型,平均延迟付款天数,平均延迟付款次数,信用卡限额变化率,信用卡查询次数,剩余债务,信用卡使用率,信用年龄,仅还款最低金额,月投资额,付款行为,月余额,评分等级
1253,CUS0x9b5c,April,Kevin Yaoc,22,MediaManager,34628.06,3041.671667,1,3,4,1,Personal Loan,8,3,0.5,0,1024.5,34.64568439,23 Years and 6 Months,No,195.1690141,LowspentLargevaluepayments,357.3092187,3
1254,CUS0xb052,August,Claren,36,Journalist,10007.815,757.9845833,4,4,8,7,"Student Loan, Personal Loan, Auto Loan, Payday Loan, Credit-Builder Loan, Credit-Builder Loan, and Not Specified",7,6,17.16,7,2195.63,34.91856025,20 Years and 2 Months,Yes,61.70153841,LowspentSmallvaluepayments,248.1459468,2
1255,CUS0xc000,May,Tarmod,27,MediaManager,35883.18,3176.265,6,5,8,4,"Not Specified, Auto Loan, Not Specified, and Auto Loan",13,10,7.63,2,78.52,29.16386544,,No,78.92046582,HighspentLargevaluepayments,362.9036045,3
1256,CUS0x5bad,July,Steve Slatero,50,Lawyer,36535.57,,5,3,9,3,"Student Loan, Student Loan, and Auto Loan",15,0,8.67,1,557.68,32.03266647,20 Years and 5 Months,No,53.88160174,HighspentMediumvaluepayments,429.2121531,2
1257,CUS0x69ff,March,Emelial,43,Writer,32178.74,2470.561667,10,6,21,6,"Auto Loan, Payday Loan, Student Loan, Debt Consolidation Loan, Personal Loan, and Student Loan",42,5,14.15,9,2165.47,22.84063849,12 Years and 0 Months,Yes,197.2272575,LowspentLargevaluepayments,220.3831645,1
1258,CUS0x5ae2,April,Karen Jacobsl,42,Architect,35758.39,3212.865833,3,3,15,3,"Payday Loan, Home Equity Loan, and Debt Consolidation Loan",24,18,8.82,9,785.19,26.34226755,14 Years and 5 Months,Yes,42.58118145,HighspentMediumvaluepayments,478.9774783,2
1259,CUS0xebe,May,Sarah N.y,38,Journalist,28286.24,2273.186667,4,7,7,1,Mortgage Loan,18,13,11.99,4,1406.94,31.87503587,29 Years and 6 Months,No,96.23329306,LowspentLargevaluepayments,383.6537013,2
1260,CUS0xad87,March,Yoko Kubotah,23,Entrepreneur,69024.2,5492.016667,9,7,27,7,"Auto Loan, Student Loan, Debt Consolidation Loan, Not Specified, Home Equity Loan, Mortgage Loan, and Payday Loan",42,25,2.75,11,4612.41,38.09142189,4 Years and 5 Months,NM,150.9719711,HighspentMediumvaluepayments,336.8030808,1
1261,CUS0xb33a,June,,19,Teacher,16360.215,,3,6,18,4,"Auto Loan, Credit-Builder Loan, Not Specified, and Not Specified",27,9,17.52,9,453.29,33.51044155,27 Years and 9 Months,Yes,122.8877165,!@9#%8,269.3508503,2
1262,CUS0x1d3d,April,Martins,52,Doctor,60284.16,5153.68,0,4,2,2,"Student Loan, and Home Equity Loan",1,3,4.4,4,1306.74,33.78771147,30 Years and 5 Months,No,46.21445444,HighspentLargevaluepayments,641.2239705,1
1263,CUS0x2e50,May,Goldsteine,37,Journalist,9987.295,578.2745833,8,539,23,7,"Student Loan, Credit-Builder Loan, Debt Consolidation Loan, Student Loan, Personal Loan, Debt Consolidation Loan, and Personal Loan",19,19,5.03,12,2943.52,27.12336366,,Yes,32.21263921,LowspentSmallvaluepayments,268.3510744,1
1264,CUS0x991f,July,Framkee,21,Architect,118462.56,9702.88,2,3,2,329,"Mortgage Loan, and Payday Loan",2,8,,5,1404.39,43.41145604,28 Years and 7 Months,No,414.0399215,HighspentSmallvaluepayments,687.3069492,3
1265,CUS0x5ea7,February,Carrelt,30,Entrepreneur,7682.515,676.2095833,6,6,32,7,"Payday Loan, Credit-Builder Loan, Auto Loan, Student Loan, Personal Loan, Debt Consolidation Loan, and Personal Loan",28,,9.59,2332,1453.52,22.37695599,8 Years and 6 Months,Yes,71.38014858,LowspentSmallvaluepayments,255.2238591,1
1266,CUS0x91d4,February,Krauskopfi,50,MediaManager,110437.2,9401.1,4,7,17,-100,"Student Loan, Home Equity Loan, Credit-Builder Loan, and Debt Consolidation Loan",17,8,18.98,0,1480.53,31.34032157,18 Years and 0 Months,Yes,193.5489476,HighspentLargevaluepayments,750.9999731,2
1267,CUS0xae01,February,Gavin Jonesl,36,Accountant,39522.28,,8,8,30,7,"Mortgage Loan, Not Specified, Personal Loan, Auto Loan, Student Loan, Credit-Builder Loan, and Student Loan",41,24,8.65,10,2024.37,37.26206052,6 Years and 4 Months,Yes,166.2334639,LowspentSmallvaluepayments,310.3974351,1
1268,CUS0x8853,August,Mollenkampi,34,Journalist,43549.86,3672.155,7,5,24,9,"Student Loan, Debt Consolidation Loan, Mortgage Loan, Student Loan, Auto Loan, Credit-Builder Loan, Auto Loan, Auto Loan, and Personal Loan",27,23,21.52,6,4639.59,28.16521205,12 Years and 8 Months,Yes,33.0908676,!@9#%8,381.0102532,2
1269,CUS0x289e,August,Jonathan Stempelu,36,Writer,27635.39,2447.949167,5,3,12,2,"Mortgage Loan, and Not Specified",25,18,18.95,,1022.51,25.57182931,28 Years and 8 Months,Yes,325.0265391,LowspentSmallvaluepayments,184.263239,2
1270,CUS0xa86,February,Sonya Dowsetti,39,Scientist,40793.33,3174.444167,5,1,8,2,"Mortgage Loan, and Not Specified",3,5,3.59,0,1039.62,27.66097701,25 Years and 4 Months,NM,88.92031275,HighspentMediumvaluepayments,421.1806539,3
1271,CUS0xbb04,April,Terrym,42,Doctor,171547.24,14241.60333,2,3,7,4,"Credit-Builder Loan, Credit-Builder Loan, Auto Loan, and Student Loan",10,4,7.16,4,1042.68,32.42877331,25 Years and 4 Months,No,1330.788387,LowspentMediumvaluepayments,,1
1272,CUS0x199b,April,Alister Bullf,41,Architect,16048.76,1623.396667,8,10,18,7,"Debt Consolidation Loan, Not Specified, Not Specified, Payday Loan, Credit-Builder Loan, Home Equity Loan, and Mortgage Loan",40,15,11.29,11,1583.58,37.19826628,14 Years and 6 Months,Yes,195.8862224,LowspentSmallvaluepayments,184.4478317,1
1273,CUS0x5513,July,Marton Dunaia,45,Engineer,28828.86,,7,7,19,8,"Personal Loan, Credit-Builder Loan, Auto Loan, Mortgage Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, and Student Loan",23,24,19.11,11,2982.96,24.39695244,6 Years and 5 Months,Yes,82.86201217,HighspentSmallvaluepayments,296.2397988,1
1274,CUS0x7517,March,,35,Teacher,55719.18,4689.265,8,7,18,5,"Auto Loan, Home Equity Loan, Auto Loan, Home Equity Loan, and Payday Loan",41,22,29.82,6,4090.5,38.03986781,13 Years and 9 Months,Yes,220.3450252,LowspentMediumvaluepayments,398.1130714,2
1275,CUS0x558d,April,Lh,41,Writer,17408.23,,6,3,16,6,"Home Equity Loan, Debt Consolidation Loan, Student Loan, Student Loan, Personal Loan, and Payday Loan",27,16,14.51,8,1658.2,29.98273711,,NM,130.7753924,LowspentMediumvaluepayments,230.4035569,1
1276,CUS0xbf99,March,Douglask,37,MediaManager,28023.75,2023.243167,5,7,18,1,Debt Consolidation Loan,21,20,14.24,7,428.84,28.80217212,21 Years and 7 Months,Yes,101.1849628,LowspentMediumvaluepayments,387.6117865,2
1277,CUS0x1b3a,August,,45,Architect,15858.64,1414.553333,9,7,17,7,"Credit-Builder Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Student Loan, Auto Loan, and Personal Loan",61,19,4.06,16,4874.77,26.40344784,0 Years and 9 Months,Yes,137.652455,LowspentSmallvaluepayments,240.6858906,2
1278,CUS0x4adc,May,,35,Writer,20295.67,1474.8599,10,6,17,8,"Mortgage Loan, Personal Loan, Debt Consolidation Loan, Auto Loan, Payday Loan, Credit-Builder Loan, Credit-Builder Loan, and Personal Loan",50,16,2.44,12,2103.83,33.01142043,20 Years and 3 Months,Yes,97.70398455,LowspentSmallvaluepayments,206.5254371,1
1279,CUS0x1537,January,Michaele,39,Engineer,40430.92,3489.243333,6,8,15,9,"Mortgage Loan, Personal Loan, Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Mortgage Loan, Home Equity Loan, and Not Specified",34,24,4.85,12,1783.53,29.73081571,6 Years and 2 Months,Yes,,LowspentSmallvaluepayments,,1
1280,CUS0xad19,May,Suvashreem,21,Teacher,109364.08,9409.673333,3,3,16,3,"Personal Loan, Mortgage Loan, and Payday Loan",17,8,,5,409.27,42.55186179,21 Years and 2 Months,Yes,123.2920843,HighspentMediumvaluepayments,840.3808408,3
1281,CUS0x3cc8,June,Klaymang,44,Architect,32632.16,2789.346667,6,9,25,2,"Student Loan, and Student Loan",39,24,7.68,7,1309.09,29.51212447,15 Years and 3 Months,Yes,231.9994136,LowspentSmallvaluepayments,301.7436082,1
1282,CUS0x1d58,April,Cheel,-500,Mechanic,10037.5,577.4583333,10,9,24,9,"Student Loan, Home Equity Loan, Mortgage Loan, Mortgage Loan, Home Equity Loan, Not Specified, Student Loan, Personal Loan, and Auto Loan",53,23,15.43,6,4618.9,32.25193335,10 Years and 1 Months,NM,52.73942416,LowspentMediumvaluepayments,218.0134509,2
1283,CUS0x77b7,April,Padraic Halpind,42,Mechanic,15120,1447,7,7,32,7,"Payday Loan, Debt Consolidation Loan, Mortgage Loan, Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, and Credit-Builder Loan",58,16,5.61,11,2981.88,34.91717368,2 Years and 0 Months,NM,153.4261112,LowspentSmallvaluepayments,222.7075605,1
1284,CUS0x9046,January,en Berkowitzf,41,Engineer,30528.52,2269.043333,4,2,6,1,Auto Loan,3,10,7.26,4,3.68,27.30849306,18 Years and 8 Months,No,197.2413863,LowspentMediumvaluepayments,294.1056255,3
1285,CUS0x5bff,April,Tonir,31,Lawyer,119113.71,9694.1425,4,7,4,2,"Auto Loan, and Personal Loan",8,,5.85,0,645.24,30.34209437,25 Years and 6 Months,No,10000,HighspentSmallvaluepayments,815.0379008,3
1286,CUS0x316a,August,,27,Musician,14925.68,1480.806667,8,10,21,7,"Personal Loan, Student Loan, Auto Loan, Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, and Personal Loan",41,8,15.75,13,2447.6,31.23312379,20 Years and 6 Months,Yes,180.0261718,LowspentSmallvaluepayments,206.9917222,2
1287,CUS0x2c55,July,Bosellin,16,Lawyer,13646.215,1160.184583,8,4,20,3,"Auto Loan, Credit-Builder Loan, and Payday Loan",30,15,12.4,10,930.84,27.5879875,16 Years and 11 Months,NM,102.2786727,!@9#%8,271.9395853,2
1288,CUS0xab9,February,Sherilee Lakmidash,32,Lawyer,50573.82,4175.485,8,904,10,5,"Not Specified, Auto Loan, Credit-Builder Loan, Student Loan, and Not Specified",21,,13.95,8,1969.76,36.0953861,6 Years and 11 Months,Yes,169.7621663,!@9#%8,432.0741136,2
1289,CUS0xc516,January,Katya Golubkovap,44,Doctor,94159.71,8028.6425,0,1,4,2,"Mortgage Loan, and Personal Loan",6,9,-1.8,2,781.5,24.55790724,18 Years and 10 Months,NM,379.5570354,LowspentMediumvaluepayments,582.2586666,3
1290,CUS0x2796,June,Tim McLaughlinm,22,Scientist,8329.915,660.1595833,8,5,30,8,"Debt Consolidation Loan, Mortgage Loan, Mortgage Loan, Auto Loan, Personal Loan, Payday Loan, Not Specified, and Auto Loan",41,17,0.79,7,2308.1,32.39569165,18 Years and 9 Months,NM,,HighspentSmallvaluepayments,254.8233953,1
1291,CUS0x7ee,January,Maria Sheahany,29,Lawyer,20637.2,1668.766667,4,5,14,4,"Personal Loan, Mortgage Loan, Mortgage Loan, and Personal Loan",15,16,9.74,2,1387.48,26.93148233,21 Years and 8 Months,NM,13.86776102,HighspentLargevaluepayments,324.4340013,2
1292,CUS0xa47,August,Jonathan Stempelm,48,Mechanic,65299.38,5305.615,4,5,8,2,"Student Loan, and Credit-Builder Loan",10,0,5.68,2,1177.38,32.76437061,26 Years and 5 Months,NM,61.08345477,HighspentMediumvaluepayments,642.4687323,1
1293,CUS0xb498,April,Elinorq,24,MediaManager,7476.3,,6,8,2723,2,"Credit-Builder Loan, and Student Loan",12,10,11.58,8,2085.35,27.6221555,12 Years and 8 Months,Yes,54.5489074,LowspentLargevaluepayments,269.3354474,1
1294,CUS0x9bc4,February,Brs,39,Architect,31732.61,2899.384167,4,4,1,4,"Personal Loan, Credit-Builder Loan, Not Specified, and Debt Consolidation Loan",32,10,7.37,3,1404.06,23.40744887,30 Years and 0 Months,NM,92.53224266,LowspentMediumvaluepayments,376.4907663,2
1295,CUS0x8b44,April,Lawderd,26,Developer,15503.02,1337.918333,6,7,30,6,"Mortgage Loan, Payday Loan, Personal Loan, Not Specified, Auto Loan, and Student Loan",34,23,6.22,7,3651.79,29.34134466,4 Years and 4 Months,Yes,45.35056266,HighspentMediumvaluepayments,261.1067368,2
1296,CUS0x756f,July,Jeaninec,49,Musician,17393.305,1158.442083,4,7,9,3,"Not Specified, Credit-Builder Loan, and Not Specified",10,8,10.87,2,373.74,26.17505604,33 Years and 2 Months,No,67.22408642,LowspentSmallvaluepayments,310.4483683,3
1297,CUS0x7cce,August,Wheatleyk,15,Teacher,29094.06,2303.505,9,10,25,4,"Not Specified, Home Equity Loan, Student Loan, and Student Loan",50,17,9.45,13,1556.08,32.45452478,14 Years and 4 Months,Yes,67.30487137,HighspentSmallvaluepayments,373.3086286,1
1298,CUS0x6bf5,April,Eva Taylorn,26,Teacher,70902.06,5898.505,4,3,5,2,"Personal Loan, and Payday Loan",5,8,4.88,2,720.71,30.73831849,24 Years and 7 Months,No,199.8628116,LowspentLargevaluepayments,600.2780249,3
1299,CUS0x4603,May,Angela Moonh,50,Lawyer,30912.86,2351.071667,1,1,10,1,Personal Loan,4,-3,5.12,5,834.22,24.02062177,32 Years and 7 Months,No,158.7506508,LowspentLargevaluepayments,320.8675197,2
1300,CUS0x8eaa,January,Wayne Coled,33,Developer,16518.87,1279.5725,10,8,28,9,"Not Specified, Not Specified, Auto Loan, Student Loan, Debt Consolidation Loan, Auto Loan, Personal Loan, Mortgage Loan, and Personal Loan",16,21,5,7,2504.31,33.97234974,10 Years and 3 Months,Yes,81.29350774,HighspentSmallvaluepayments,240.9585629,1
1301,CUS0x12d1,March,Hirschlers,40,Accountant,21384.94,1646.078333,4,4,15,2,"Credit-Builder Loan, and Debt Consolidation Loan",20,12,14.37,5,691.53,38.64235943,,Yes,51.22049637,HighspentMediumvaluepayments,341.291712,2
1302,CUS0x932c,February,Evelinew,24,Journalist,15968.78,,8,7,8,6,"Home Equity Loan, Auto Loan, Not Specified, Mortgage Loan, Not Specified, and Personal Loan",13,20,9.43,6,279.78,37.67238954,16 Years and 3 Months,Yes,18.9146289,HighspentMediumvaluepayments,339.2717883,2
1303,CUS0xeb9,June,"OCallaghan""k",44,Doctor,9637.635,,7,7,28,6,"Payday Loan, Payday Loan, Payday Loan, Home Equity Loan, Payday Loan, and Auto Loan",38,18,9.32,11,2574.11,34.77567528,9 Years and 6 Months,Yes,48.41543181,LowspentLargevaluepayments,245.4282337,2
1304,CUS0x2665,January,,35,Accountant,65000.73,5588.7275,7,4,18,3,"Credit-Builder Loan, Student Loan, and Debt Consolidation Loan",6,14,7.08,0,1346.77,38.38814223,28 Years and 8 Months,Yes,273.7407185,LowspentLargevaluepayments,403.329494,2
1305,CUS0xa579,July,,21,Scientist,68498.72,,6,9,3093,5,"Student Loan, Auto Loan, Student Loan, Mortgage Loan, and Mortgage Loan",46,16,8.99,15,1825.94,35.82384411,15 Years and 10 Months,Yes,611.456409,LowspentSmallvaluepayments,93.87252784,1
1306,CUS0x7e50,February,Bend,48,Writer,170986.72,,0,5,8,4,"Auto Loan, Personal Loan, Credit-Builder Loan, and Student Loan",5,1,5.37,3,396.58,42.92062805,32 Years and 2 Months,No,334.0824407,HighspentLargevaluepayments,859.5023056,3
1307,CUS0xc067,July,Jedd,25,Lawyer,10004.805,984.73375,10,8,25,9,"Auto Loan, Payday Loan, Not Specified, Auto Loan, Mortgage Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, and Student Loan",55,23,,11,4532.65,37.83365512,8 Years and 4 Months,Yes,50.42061363,LowspentMediumvaluepayments,284.8714685,1
1308,CUS0x988d,May,Chadbournz,42,,47899.86,3852.655,3,5,23,4,"Home Equity Loan, Mortgage Loan, Personal Loan, and Home Equity Loan",13,12,19.59,11,2359.68,28.96193824,12 Years and 1 Months,Yes,328.5849914,LowspentSmallvaluepayments,208.7045897,1
1309,CUS0x2499,February,Kevinv,55,Mechanic,28276.72,2449.393333,5,4,10,4,"Not Specified, Not Specified, Payday Loan, and Debt Consolidation Loan",24,9,10.51,4,123.73,30.68617016,29 Years and 11 Months,No,57.24226635,HighspentMediumvaluepayments,387.6791934,2
1310,CUS0x24ae,March,Shalal-Esaa,51,Entrepreneur,94070.2,7846.183333,5,5,8,1,Auto Loan,21,17,4.88,0,1420.86,31.01251959,19 Years and 7 Months,No,250.9093597,LowspentMediumvaluepayments,749.5767566,2
1311,CUS0x28e7,February,Volcovicij,39,Engineer,10395.46,1160.288333,6,8,23,9,"Personal Loan, Student Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Personal Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan",52,25,8.39,9,1781.57,28.97673798,,Yes,37.53957164,LowspentLargevaluepayments,279.5548786,1
1312,CUS0x5f0e,August,Sarahl,40,Engineer,82134.44,,10,5,24,-100,"Debt Consolidation Loan, Home Equity Loan, Mortgage Loan, Not Specified, Not Specified, Personal Loan, Credit-Builder Loan, Mortgage Loan, and Credit-Builder Loan",36,16,4.55,10,1332.6,28.074593,18 Years and 10 Months,Yes,174.1655715,HighspentMediumvaluepayments,425.5438956,1
1313,CUS0x22b9,April,David Millikenu,45,Lawyer,9856.98,,6,5,23,6,"Personal Loan, Credit-Builder Loan, Not Specified, Auto Loan, Personal Loan, and Credit-Builder Loan",19,14,8.43,10,1455.73,27.65024094,13 Years and 4 Months,Yes,89.15350173,LowspentSmallvaluepayments,247.8771745,1
1314,CUS0x7ba0,January,imarte Waltera,28,Teacher,39284.17,3072.680833,4,1,3,1,Not Specified,15,2,10.29,4,1274.85,36.39692975,15 Years and 5 Months,No,252.7146512,LowspentLargevaluepayments,303.0930487,3
1315,CUS0x415b,June,Xiaoyi Shaon,44,Doctor,30710.59,2529.748076,0,7,8,1,Not Specified,8,8,0.76,1,1211.61,32.81409344,19 Years and 1 Months,NM,40.11002581,HighspentLargevaluepayments,458.3125556,2
1316,CUS0x4036,February,McBridek,33,Musician,8056.13,,10,5,32,8,"Student Loan, Home Equity Loan, Student Loan, Personal Loan, Not Specified, Auto Loan, Auto Loan, and Debt Consolidation Loan",48,16,23.64,6,4230.04,39.53528777,,NM,27.60567737,LowspentSmallvaluepayments,277.8460455,2
1317,CUS0x930a,June,,41,Scientist,178969.48,14647.12333,0,5,1,4,"Debt Consolidation Loan, Not Specified, Student Loan, and Mortgage Loan",4,7,2.87,9,667.15,31.92449308,21 Years and 6 Months,No,497.6709771,LowspentMediumvaluepayments,692.8740821,3
1318,CUS0x8d4f,March,Kazunori Takadas,18,Entrepreneur,7106.15,592.1791667,6,5,29,3,"Personal Loan, Auto Loan, and Debt Consolidation Loan",41,21,,7,2688.12,26.61256411,19 Years and 0 Months,Yes,40.08285885,LowspentSmallvaluepayments,299.5592031,1
1319,CUS0x9e76,February,Carrick Mollenkampb,32,MediaManager,35836.84,2865.403333,4,6,18,3,"Auto Loan, Credit-Builder Loan, and Auto Loan",13,17,3.66,1,1004.66,38.64297659,31 Years and 3 Months,No,382.9746726,LowspentSmallvaluepayments,142.6589687,2
1320,CUS0x738c,April,Rodrigo Camposc,15,Manager,46340.67,3969.7225,8,7,13,5,"Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Personal Loan",22,17,24.42,6,791.45,30.57687207,11 Years and 7 Months,Yes,167.3873945,HighspentMediumvaluepayments,367.623928,2
1321,CUS0x3949,June,Scotto,41,Musician,63353.68,5356.473333,9,8,15,8,"Auto Loan, Mortgage Loan, Not Specified, Not Specified, Auto Loan, Debt Consolidation Loan, Credit-Builder Loan, and Debt Consolidation Loan",24,19,6.41,7,4362.52,20.71974515,1 Years and 3 Months,Yes,498.4925369,LowspentLargevaluepayments,,2
1322,CUS0x635a,July,Brettk,28,Musician,38868.12,3043.01,3,4,1,1,Debt Consolidation Loan,3,,0.51,3,1150.03,32.53048963,24 Years and 10 Months,No,45.76259878,!@9#%8,481.1717978,3
1323,CUS0x44ec,May,raden Reddallv,27,Doctor,162144.64,13743.05333,1,6,5,1,Not Specified,22,7,2.02,5,80.76,25.49150237,17 Years and 2 Months,No,1030.104717,LowspentMediumvaluepayments,506.5419354,2
1324,CUS0x7bf0,March,Lynnley Browningd,35,Mechanic,20503.21,1430.600833,8,9,21,9,"Not Specified, Payday Loan, Payday Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, Auto Loan, Home Equity Loan, and Auto Loan",39,13,14.24,11,4735.55,25.36166621,12 Years and 3 Months,Yes,42.62802643,LowspentMediumvaluepayments,255.1538333,1
1325,CUS0x5b84,May,Matthieuh,44,Writer,10207.5,,7,7,22,5,"Auto Loan, Credit-Builder Loan, Home Equity Loan, Credit-Builder Loan, and Credit-Builder Loan",12,13,22.19,7,2419.86,27.90053674,12 Years and 2 Months,Yes,69.649138,LowspentSmallvaluepayments,272.9841411,1
1326,CUS0xac0b,May,Timw,35,Developer,117946.44,9988.87,4,5,1,3,"Payday Loan, Student Loan, and Credit-Builder Loan",4,0,9.51,0,573.65,27.88355271,25 Years and 6 Months,No,1305.433843,LowspentSmallvaluepayments,,3
1327,CUS0xac14,August,Bulll,28,MediaManager,66575.2,5631.933333,5,4,2,2,"Auto Loan, and Auto Loan",8,,2.96,6,985.64,31.28544933,17 Years and 4 Months,No,111.531658,HighspentLargevaluepayments,584.1562765,3
1328,CUS0x9e09,June,Matthias Sobolewskie,24,Lawyer,31707.73,,8,7,7,2,"Payday Loan, and Personal Loan",27,19,12.51,8,526.48,25.37226569,20 Years and 4 Months,Yes,311.8627727,LowspentSmallvaluepayments,188.1562098,2
1329,CUS0xfdd,May,Leikau,14,Scientist,32128.24,2693.353333,6,4,2091,7,"Mortgage Loan, Personal Loan, Mortgage Loan, Mortgage Loan, Payday Loan, Home Equity Loan, and Debt Consolidation Loan",19,20,10.61,8,465.04,36.04695238,7 Years and 5 Months,Yes,151.7952645,HighspentSmallvaluepayments,274.0838556,2
1330,CUS0x9339,February,,39,Accountant,15898.59,1059.8825,8,6,15,6,"Home Equity Loan, Payday Loan, Auto Loan, Mortgage Loan, Student Loan, and Debt Consolidation Loan",30,18,22.17,9,2552.86,35.82890663,3 Years and 3 Months,Yes,117.9461305,LowspentSmallvaluepayments,206.031682,2
1331,CUS0x45af,July,Sierras,33,MediaManager,35022.76,2646.563333,6,4,11,3,"Home Equity Loan, Auto Loan, and Home Equity Loan",30,17,5,3,794.33,39.69197788,23 Years and 1 Months,No,143.5192601,LowspentSmallvaluepayments,346.6959667,2
1332,CUS0x20fe,June,Calluse,37,Developer,21085.67,1919.139167,5,7,11,1,Payday Loan,30,17,4.78,6,1384.38,27.46685219,30 Years and 7 Months,No,21.41537357,HighspentLargevaluepayments,399.8451895,3
1333,CUS0x71b6,May,Saraho,27,Architect,10667.73,1027.9775,7,6,18,2,"Personal Loan, and Not Specified",14,7,14.32,2,556.11,23.58302176,24 Years and 11 Months,NM,90.99614979,LowspentSmallvaluepayments,285.4957905,2
1334,CUS0x80d,February,Jonathan Stempeld,35,Entrepreneur,23957.75,,7,3,17,4,"Auto Loan, Not Specified, Auto Loan, and Not Specified",6,3522,7.97,2,890.77,34.1009908,22 Years and 3 Months,Yes,107.0133312,LowspentSmallvaluepayments,294.1285136,2
1335,CUS0x2abb,July,Tomq,32,MediaManager,68898.56,,9,7,30,9,"Credit-Builder Loan, Home Equity Loan, Not Specified, Auto Loan, Credit-Builder Loan, Payday Loan, Debt Consolidation Loan, Not Specified, and Payday Loan",16,16,29.8,8,3234.47,31.89443312,0 Years and 11 Months,Yes,212.3639446,LowspentLargevaluepayments,114.5255353,2
1336,CUS0xaff6,May,Dave Clarkej,55,Mechanic,32876.7,,7,4,20,1,Not Specified,11,,14.28,2,807.3,24.52891723,17 Years and 2 Months,Yes,223.714894,LowspentSmallvaluepayments,296.6633024,2
1337,CUS0xa5be,April,Herbert Lashn,54,Entrepreneur,30084.89,2375.074167,5,5,7,3,"Student Loan, Student Loan, and Debt Consolidation Loan",15,,5.57,4,115.84,29.72127002,15 Years and 6 Months,Yes,42.0940771,HighspentSmallvaluepayments,403.3162433,2
1338,CUS0x8a3c,May,Deepa Seetharamane,48,Architect,116624.4,9633.7,5,5,6,3,"Home Equity Loan, Debt Consolidation Loan, and Debt Consolidation Loan",30,19,14.67,0,394.94,38.69756299,24 Years and 7 Months,Yes,10000,HighspentMediumvaluepayments,830.1998786,1
1339,CUS0x9e39,May,Huwq,40,Manager,7919.535,875.96125,3,10,23,6,"Student Loan, Personal Loan, Payday Loan, Credit-Builder Loan, Student Loan, and Auto Loan",25,15,17.49,6,2498.07,33.41314964,16 Years and 0 Months,Yes,108.0710415,LowspentSmallvaluepayments,239.169016,1
1340,CUS0x307b,June,Lisa Baertleiny,39,Writer,19934.08,1361.173333,7,5,14,2,"Payday Loan, and Auto Loan",30,19,1.71,7,311.45,29.10026846,17 Years and 8 Months,No,53.7882076,LowspentSmallvaluepayments,347.6709023,2
1341,CUS0x7350,August,Jessicak,17,Scientist,14173.65,1283.1375,5,5,30,4,"Personal Loan, Debt Consolidation Loan, Student Loan, and Credit-Builder Loan",30,16,16.98,10,2297.52,36.9873265,,Yes,45.46253619,!@9#%8,328.8803991,2
1342,CUS0x4854,August,Langep,44,Accountant,66012.28,5400.023333,10,9,30,6,"Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Debt Consolidation Loan",47,21,25.47,11,3696.36,29.57050469,14 Years and 2 Months,Yes,118.0530156,HighspentMediumvaluepayments,444.6474577,2
1343,CUS0x9f77,January,Brq,19,Developer,39448.67,,1,5,9,1,Student Loan,4,3,10.82,4,544.19,30.98946688,22 Years and 5 Months,No,419.6927231,LowspentSmallvaluepayments,187.5817362,2
1344,CUS0x5a5e,August,,26,Manager,107437.53,8665.1275,4,4,9,1,Credit-Builder Loan,20,4,9.37,8,50.07,40.16813281,15 Years and 11 Months,No,154.5190409,HighspentMediumvaluepayments,906.9166059,1
1345,CUS0xa75c,March,Brownn,39,Manager,56483.64,4900.97,8,3,10,3,"Not Specified, Mortgage Loan, and Debt Consolidation Loan",23,19,5.72,4,213.93,31.23783127,22 Years and 7 Months,No,237.8848698,HighspentSmallvaluepayments,424.4699368,1
1346,CUS0x4271,April,Caseyy,21,Scientist,10498.77,674.8975,9,6,29,6,"Debt Consolidation Loan, Mortgage Loan, Auto Loan, Credit-Builder Loan, Home Equity Loan, and Auto Loan",15,,27.56,10,4137.37,26.43255554,2 Years and 1 Months,Yes,30.85324361,HighspentSmallvaluepayments,255.5581309,3
1347,CUS0x3257,August,Tsvetelia Tsolovam,40,Developer,78595.6,6642.633333,9,7,17,6,"Mortgage Loan, Mortgage Loan, Student Loan, Student Loan, Home Equity Loan, and Auto Loan",30,17,11.4,9,1421.43,34.47287752,12 Years and 3 Months,Yes,604.4922495,LowspentMediumvaluepayments,,2
1348,CUS0x4ce7,April,Mutikanim,39,Musician,36585.12,2765.774156,6,10,28,8,"Student Loan, Debt Consolidation Loan, Mortgage Loan, Payday Loan, Debt Consolidation Loan, Payday Loan, Personal Loan, and Home Equity Loan",52,23,2.59,14,1471.01,33.84823261,13 Years and 7 Months,Yes,147.5833827,HighspentSmallvaluepayments,209.9523656,2
